,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Kyle Lowry,919.0,683.0,31.6,4.7,11.2,42.3,1.9,5.1,36.6,3.5,4.3,81.0,0.8,3.5,4.3,6.2,0.3,1.4,2.7,2.3,14.8
Patrick McCaw,194.0,43.0,17.2,1.5,3.6,41.9,0.5,1.6,30.5,0.4,0.5,77.9,0.3,1.3,1.6,1.4,0.2,0.7,1.2,0.6,3.9
Norman Powell,312.0,90.0,18.8,3.1,6.9,45.4,1.1,2.9,36.2,1.3,1.6,82.0,0.3,2.0,2.4,1.3,0.2,0.7,1.6,1.0,8.6
Pascal Siakam,280.0,186.0,26.2,5.0,10.1,49.7,0.9,2.7,33.2,2.0,2.6,76.5,1.2,4.4,5.6,2.3,0.7,0.8,2.5,1.5,12.9
Matt Thomas,44.0,1.0,11.1,1.8,3.8,47.9,1.2,2.5,47.7,0.2,0.3,76.9,0.2,1.3,1.5,0.6,0.0,0.3,0.9,0.4,5.1
Fred VanVleet,236.0,87.0,24.1,3.7,9.0,41.1,1.7,4.3,39.0,1.6,1.9,84.2,0.3,2.3,2.6,4.1,0.3,1.1,1.8,1.3,10.6
Yuta Watanabe,34.0,0.0,8.5,0.9,2.6,34.5,0.1,0.7,20.0,0.3,0.5,55.6,0.4,1.3,1.6,0.4,0.1,0.3,0.6,0.2,2.2
Paul Watson,11.0,0.0,8.2,0.9,2.5,37.0,0.4,1.2,30.8,0.6,0.8,77.8,0.2,1.5,1.6,0.7,0.1,0.4,0.5,0.3,2.8
Ryan Arcidiacono,165.0,36.0,19.5,1.8,4.2,43.2,0.9,2.4,37.1,0.8,0.9,83.2,0.3,1.9,2.2,2.4,0.0,0.6,1.7,0.7,5.2
Devon Dotson,1.0,0.0,10.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
Cristiano Felicio,235.0,20.0,14.8,1.8,3.2,57.1,0.0,0.1,0.0,0.9,1.3,67.4,1.6,2.5,4.1,0.7,0.2,0.3,1.5,0.6,4.5
Daniel Gafford,49.0,7.0,14.3,2.2,3.2,70.3,0.0,0.0,0.0,0.9,1.6,56.3,1.2,1.3,2.5,0.5,1.2,0.3,2.2,0.6,5.4
Chandler Hutchison,76.0,24.0,19.4,2.4,5.3,45.3,0.4,1.2,29.7,0.9,1.6,60.2,0.7,3.4,4.1,0.8,0.2,0.7,1.5,0.7,6.1
Luke Kornet,103.0,33.0,16.3,2.3,5.8,39.9,1.3,3.7,33.8,0.7,0.8,78.2,0.6,2.2,2.8,1.1,0.8,0.4,1.2,0.5,6.5
Zach LaVine,360.0,273.0,30.8,6.4,14.3,44.7,1.8,4.9,37.3,3.1,3.8,82.1,0.5,3.2,3.6,3.6,0.3,1.0,2.2,2.6,17.8
Lauri Markkanen,174.0,173.0,30.5,5.7,13.2,43.2,2.2,6.2,35.9,2.6,3.1,84.6,1.2,6.3,7.6,1.3,0.6,0.7,1.9,1.5,16.2
Adam Mokoka,14.0,0.0,10.3,1.1,2.8,41.0,0.4,1.5,28.6,0.1,0.3,50.0,0.6,0.4,0.9,0.5,0.1,0.4,1.6,0.2,2.9
Tomas Satoransky,278.0,151.0,23.3,2.7,5.9,46.9,0.7,1.8,36.8,1.2,1.5,81.8,0.9,2.2,3.1,4.1,0.2,0.9,1.8,1.4,7.4
Garrett Temple,582.0,246.0,21.1,2.3,5.6,40.2,1.0,2.8,34.6,0.9,1.2,73.8,0.4,1.9,2.3,1.7,0.3,0.8,1.9,0.9,6.3
Denzel Valentine,174.0,42.0,20.8,2.9,7.3,40.4,1.6,4.2,37.1,0.3,0.5,75.9,0.4,3.2,3.6,2.0,0.1,0.7,1.9,1.0,7.8
Coby White,72.0,8.0,26.4,4.8,12.3,39.1,2.1,5.9,35.6,1.7,2.1,80.1,0.4,3.2,3.7,3.0,0.1,0.7,1.8,1.8,13.5
Patrick Williams,7.0,7.0,24.9,3.6,8.0,44.6,0.7,1.9,38.5,1.7,2.1,80.0,0.4,2.9,3.3,1.0,1.1,0.6,2.1,1.7,9.6
Thaddeus Young,968.0,687.0,30.3,5.7,11.3,49.8,0.5,1.5,33.3,1.3,2.0,67.0,2.0,3.9,5.9,1.7,0.4,1.5,2.2,1.5,13.2
Marques Bolden,4.0,0.0,2.8,0.3,0.3,100.0,0.0,0.0,0.0,0.8,1.5,50.0,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.0,1.3
Matthew Dellavedova,434.0,92.0,20.4,2.0,5.1,38.9,0.9,2.5,36.8,0.7,0.8,83.8,0.4,1.4,1.8,3.7,0.0,0.5,1.9,1.3,5.6
Damyean Dotson,170.0,42.0,20.0,2.9,6.9,42.0,1.2,3.4,36.1,0.7,0.9,72.1,0.3,2.3,2.6,1.3,0.1,0.6,1.3,0.7,7.7
Andre Drummond,605.0,554.0,31.0,6.1,11.3,54.1,0.0,0.2,14.0,2.2,4.8,46.2,4.8,9.1,13.8,1.3,1.6,1.4,3.2,2.0,14.5
Dante Exum,244.0,71.0,18.6,2.1,5.1,40.7,0.7,2.2,30.5,0.8,1.1,76.4,0.4,1.4,1.8,2.1,0.2,0.4,1.8,1.3,5.7
Darius Garland,65.0,65.0,31.4,4.9,12.1,40.7,1.8,5.0,36.6,1.1,1.2,87.7,0.5,1.6,2.0,4.1,0.1,0.8,1.7,2.6,12.8
Kevin Love,715.0,632.0,32.0,6.0,13.6,44.2,1.7,4.6,37.0,4.5,5.4,82.8,2.8,8.4,11.1,2.4,0.5,0.7,2.1,2.0,18.2
Thon Maker,258.0,65.0,13.8,1.6,3.7,43.5,0.5,1.5,32.9,0.9,1.3,67.6,0.8,1.9,2.8,0.6,0.7,0.4,1.8,0.5,4.6
JaVale McGee,707.0,317.0,17.3,3.4,5.9,57.4,0.0,0.1,20.5,1.1,1.9,59.0,1.9,3.3,5.2,0.4,1.5,0.4,2.2,1.0,7.9
Isaac Okoro,2.0,2.0,37.5,2.0,4.5,44.4,0.5,2.5,20.0,1.0,1.0,100.0,0.0,3.0,3.0,2.5,0.0,0.5,2.5,2.0,5.5
Cedi Osman,208.0,153.0,24.8,3.6,8.2,43.5,1.4,3.9,36.4,1.1,1.6,71.5,0.5,3.0,3.5,1.9,0.1,0.7,2.1,1.2,9.7
Collin Sexton,153.0,143.0,32.5,7.1,15.7,45.5,1.5,3.7,39.8,3.0,3.6,84.1,0.8,2.2,3.0,3.0,0.1,0.8,2.3,2.3,18.8
