,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Justin Jackson,215.0,59.0,19.5,2.5,5.8,43.2,0.9,2.8,32.2,0.6,0.8,79.0,0.5,2.1,2.6,1.0,0.2,0.3,1.2,0.4,6.5
Ty Jerome,31.0,0.0,10.6,1.2,3.6,33.6,0.5,1.6,28.0,0.4,0.5,75.0,0.2,1.3,1.5,1.4,0.1,0.5,0.9,0.6,3.3
Theo Maledon,5.0,0.0,21.2,2.6,5.8,44.8,1.0,3.6,27.8,0.8,1.4,57.1,0.2,1.6,1.8,2.6,0.0,0.8,2.0,2.2,7.0
Darius Miller,253.0,28.0,20.4,2.1,4.9,41.8,1.3,3.4,38.2,0.6,0.7,83.0,0.2,1.5,1.7,1.4,0.2,0.4,2.0,0.6,6.0
Mike Muscala,359.0,30.0,15.5,2.1,4.5,46.2,0.8,2.1,37.0,0.7,0.9,84.2,0.9,2.3,3.1,0.9,0.5,0.4,1.5,0.6,5.7
Aleksej Pokusevski,5.0,0.0,16.0,0.4,4.2,9.5,0.2,3.2,6.3,0.0,0.0,0.0,0.2,3.6,3.8,1.4,1.0,1.0,1.2,2.0,1.0
Isaiah Roby,5.0,1.0,11.4,2.4,3.6,66.7,0.2,0.8,25.0,0.2,1.4,14.3,1.2,1.8,3.0,0.0,0.4,0.2,1.6,0.8,5.2
Kenrich Williams,90.0,47.0,21.9,1.8,4.9,36.5,0.9,2.9,30.2,0.3,0.5,53.1,1.2,3.4,4.6,1.6,0.5,0.8,2.1,0.7,4.7
Carmelo Anthony,1127.0,1114.0,35.6,8.4,18.8,44.8,1.3,3.7,34.9,5.4,6.6,81.2,1.7,4.8,6.5,2.9,0.5,1.0,2.9,2.6,23.5
Keljin Blevins,3.0,0.0,5.7,0.3,2.0,16.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.7,1.0,0.7
Zach Collins,154.0,12.0,17.5,2.2,4.9,44.4,0.5,1.6,32.4,0.8,1.1,72.2,1.2,2.8,4.0,0.9,0.7,0.3,2.2,1.0,5.7
Robert Covington,402.0,354.0,30.0,4.2,10.4,40.5,2.3,6.5,35.5,1.9,2.3,81.1,0.9,4.8,5.7,1.5,0.9,1.7,3.0,1.7,12.6
CJ Elleby,3.0,0.0,5.7,0.7,1.7,40.0,0.0,1.0,0.0,0.0,0.3,0.0,0.3,0.3,0.7,0.7,0.0,0.0,1.0,0.0,1.3
Rodney Hood,346.0,248.0,27.1,4.5,10.5,42.5,1.7,4.5,37.3,1.7,2.0,83.9,0.3,2.5,2.9,1.9,0.2,0.8,2.2,1.1,12.3
Enes Kanter,647.0,223.0,21.7,4.7,8.7,54.4,0.1,0.2,28.7,2.0,2.6,77.6,2.9,4.7,7.6,0.8,0.5,0.4,2.2,1.5,11.6
Damian Lillard,621.0,621.0,36.4,8.0,18.2,43.7,2.9,7.8,37.3,5.4,6.1,88.9,0.6,3.6,4.2,6.5,0.3,1.0,2.0,2.8,24.2
Nassir Little,48.0,5.0,11.9,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,1.5,0.3,3.6
CJ McCollum,487.0,390.0,31.0,7.1,15.7,45.4,2.1,5.4,39.8,2.2,2.6,82.7,0.6,2.7,3.3,3.2,0.4,0.9,2.2,1.7,18.6
Jusuf Nurkic,324.0,243.0,23.2,4.7,9.5,49.1,0.0,0.2,11.9,2.3,3.5,67.0,2.5,5.5,8.0,2.0,1.3,0.9,3.1,2.1,11.7
Anfernee Simons,95.0,5.0,17.4,2.6,6.6,40.1,1.0,2.9,33.5,0.9,1.2,78.6,0.3,1.5,1.8,1.2,0.1,0.3,1.6,0.8,7.2
Udoka Azubuike,2.0,0.0,4.5,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,2.0
Bojan Bogdanovic,468.0,351.0,28.6,5.0,10.9,45.9,1.9,4.8,39.4,2.3,2.7,85.8,0.5,3.0,3.5,1.5,0.1,0.6,1.6,1.6,14.2
Jarrell Brantley,9.0,0.0,10.7,1.1,3.1,35.7,0.3,1.4,23.1,0.1,0.2,50.0,0.2,2.0,2.2,1.2,0.6,0.3,0.8,0.8,2.7
Jordan Clarkson,459.0,140.0,26.9,5.7,12.7,44.7,1.5,4.4,34.2,1.9,2.4,81.9,0.9,2.3,3.2,2.6,0.1,0.9,1.7,1.7,14.8
Mike Conley,841.0,804.0,32.4,5.3,12.1,43.9,1.4,3.8,37.6,2.9,3.5,81.9,0.4,2.5,3.0,5.6,0.2,1.4,2.0,2.0,14.9
Derrick Favors,689.0,485.0,25.6,4.6,8.7,53.0,0.1,0.3,20.7,2.0,3.1,66.1,2.5,4.8,7.4,1.1,1.3,0.8,2.6,1.4,11.4
Rudy Gobert,480.0,388.0,29.5,4.3,6.8,64.0,0.0,0.0,0.0,3.1,4.9,63.0,3.2,7.7,11.0,1.4,2.2,0.7,2.6,1.6,11.7
Shaquille Harrison,141.0,23.0,16.4,2.3,5.1,44.9,0.3,1.1,29.3,1.1,1.5,70.6,0.5,2.2,2.6,1.7,0.4,1.1,1.6,0.7,6.0
Elijah Hughes,2.0,0.0,4.5,0.0,1.5,0.0,0.0,0.5,0.0,1.5,2.0,75.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.5
Joe Ingles,484.0,268.0,25.5,3.0,6.6,44.7,1.7,4.2,40.5,0.7,0.9,75.2,0.3,2.9,3.2,3.6,0.2,1.0,1.9,1.6,8.3
Donovan Mitchell,231.0,223.0,33.8,8.2,18.8,43.7,2.5,6.9,35.5,3.7,4.5,82.2,0.7,3.3,4.1,4.1,0.3,1.3,2.6,2.8,22.6
Juwan Morgan,24.0,0.0,6.0,0.6,1.1,55.6,0.1,0.4,33.3,0.1,0.2,75.0,0.4,0.9,1.3,0.3,0.1,0.0,0.8,0.3,1.5
Georges Niang,163.0,1.0,9.9,1.5,3.4,43.1,0.8,2.2,38.0,0.3,0.3,82.7,0.2,1.3,1.5,0.5,0.1,0.2,0.9,0.4,4.0
Miye Oni,13.0,1.0,9.3,1.0,2.7,37.1,0.6,1.5,40.0,0.3,0.4,80.0,0.5,1.2,1.6,0.4,0.2,0.3,0.9,0.4,2.9
Kent Bazemore,555.0,278.0,21.1,3.1,7.5,41.3,1.1,3.0,35.1,1.4,2.0,72.6,0.4,2.9,3.2,1.8,0.5,1.0,2.0,1.5,8.7
Marquese Chriss,258.0,147.0,19.3,3.0,6.5,45.5,0.6,2.1,28.9,1.4,2.1,66.7,1.3,3.6,4.9,1.1,0.8,0.7,2.6,1.3,8.0
Stephen Curry,705.0,699.0,34.3,8.1,17.1,47.6,3.6,8.2,43.4,3.7,4.1,90.7,0.7,3.8,4.5,6.6,0.2,1.7,2.5,3.1,23.6
Draymond Green,578.0,430.0,28.1,3.2,7.5,43.5,0.9,2.8,31.9,1.6,2.2,70.9,1.1,5.8,6.9,5.0,1.1,1.4,2.8,2.1,8.9
Damion Lee,102.0,47.0,22.6,3.4,8.0,42.1,1.4,3.8,35.6,1.5,1.8,85.7,0.5,3.4,3.9,1.8,0.1,0.8,1.8,0.9,9.6
Kevon Looney,230.0,36.0,14.0,1.9,3.3,56.9,0.0,0.2,14.3,0.6,1.0,60.5,1.6,2.1,3.7,1.0,0.6,0.5,1.9,0.5,4.3
Mychal Mulder,13.0,3.0,20.0,2.5,6.5,39.3,1.6,5.1,31.8,0.9,1.4,66.7,0.2,1.9,2.2,0.7,0.2,0.2,1.8,0.5,7.6
Eric Paschall,66.0,28.0,26.8,5.2,10.3,50.1,0.6,2.1,28.7,2.7,3.5,77.5,1.3,3.1,4.4,2.0,0.2,0.5,2.1,1.5,13.6
Jordan Poole,62.0,14.0,21.6,2.8,8.5,33.5,1.2,4.5,27.6,1.7,2.1,81.3,0.2,1.9,2.0,2.2,0.2,0.6,1.6,1.2,8.6
Alen Smailagic,14.0,0.0,9.9,1.4,2.9,50.0,0.2,0.9,23.1,1.1,1.4,84.2,0.7,1.2,1.9,0.9,0.3,0.2,1.0,0.8,4.2
Klay Thompson,615.0,578.0,33.1,7.3,16.0,45.9,2.9,7.0,41.9,1.9,2.3,84.8,0.4,3.0,3.5,2.3,0.5,0.9,2.1,1.7,19.5
Brad Wanamaker,113.0,1.0,16.0,1.9,4.3,44.7,0.5,1.3,36.0,1.4,1.6,90.5,0.2,1.5,1.7,2.2,0.2,0.7,1.6,0.9,5.8
Andrew Wiggins,460.0,460.0,35.7,7.3,16.5,44.1,1.2,3.6,33.3,3.9,5.4,73.2,1.3,3.1,4.4,2.3,0.6,1.0,2.2,2.1,19.7
James Wiseman,6.0,6.0,22.3,4.3,9.7,44.8,0.8,1.8,45.5,2.2,3.3,65.0,1.2,5.3,6.5,0.3,1.7,0.5,4.0,1.7,11.7
Nicolas Batum,796.0,721.0,31.3,4.1,9.4,43.5,1.6,4.4,35.7,1.7,2.1,84.2,1.1,4.2,5.2,3.8,0.6,0.9,1.8,1.8,11.5
Patrick Beverley,438.0,357.0,28.0,3.1,7.6,41.5,1.6,4.2,38.2,1.0,1.3,76.2,1.2,3.2,4.4,3.4,0.4,1.2,3.1,1.3,8.9
Amir Coffey,24.0,1.0,8.1,1.1,2.8,40.9,0.3,1.0,32.0,0.3,0.6,57.1,0.2,0.5,0.8,0.7,0.1,0.2,0.9,0.3,2.9
Paul George,659.0,611.0,33.5,6.8,15.6,43.4,2.5,6.4,38.3,4.0,4.7,84.7,0.9,5.5,6.4,3.4,0.4,1.7,2.7,2.6,20.0
Serge Ibaka,815.0,653.0,28.6,5.2,10.1,51.4,0.7,1.8,36.1,1.5,1.9,75.8,2.2,5.2,7.3,0.8,2.1,0.4,2.8,1.3,12.6
Reggie Jackson,568.0,348.0,25.0,4.7,11.1,42.8,1.2,3.5,33.8,2.1,2.4,85.6,0.5,2.4,2.9,4.4,0.1,0.7,1.9,1.9,12.8
Mfiondu Kabengele,17.0,0.0,5.6,0.9,2.4,36.6,0.6,1.5,38.5,0.4,0.4,100.0,0.1,0.8,0.9,0.2,0.2,0.2,0.9,0.2,2.8
Luke Kennard,171.0,46.0,23.3,3.5,8.0,44.2,1.6,3.9,40.4,1.1,1.3,86.2,0.2,2.5,2.8,2.1,0.2,0.5,1.5,1.0,9.8
Kawhi Leonard,529.0,502.0,31.0,6.7,13.7,49.0,1.5,3.8,38.2,3.8,4.5,85.4,1.2,5.2,6.4,2.7,0.7,1.8,1.7,1.6,18.7
Terance Mann,47.0,6.0,9.2,0.9,2.1,44.3,0.1,0.5,31.8,0.4,0.6,66.7,0.3,1.2,1.5,1.2,0.1,0.2,1.2,0.4,2.4
Daniel Oturu,4.0,0.0,5.5,1.3,2.0,62.5,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.5,1.8,0.5,0.5,0.0,0.8,0.3,2.5
Patrick Patterson,685.0,99.0,21.0,2.6,5.9,44.7,0.9,2.3,36.9,0.6,0.8,75.6,1.2,2.8,4.0,1.0,0.4,0.5,1.6,0.6,6.7
Lou Williams,1008.0,118.0,24.8,4.6,11.0,42.0,1.3,3.9,34.9,3.8,4.5,84.0,0.4,1.9,2.3,3.5,0.2,0.9,1.3,1.7,14.4
Ivica Zubac,219.0,118.0,16.1,3.0,5.3,57.0,0.0,0.0,0.0,1.5,1.9,75.9,1.9,3.6,5.5,0.9,0.8,0.3,2.0,0.9,7.5
Kostas Antetokounmpo,8.0,0.0,4.9,0.4,1.0,37.5,0.0,0.0,0.0,0.4,0.8,50.0,0.3,0.8,1.0,0.3,0.3,0.3,0.4,0.5,1.1
Devontae Cacok,1.0,0.0,9.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0
Alex Caruso,129.0,13.0,17.9,2.0,4.6,42.8,0.6,1.7,36.7,1.1,1.5,75.0,0.4,1.6,2.0,2.2,0.3,0.9,1.6,1.1,5.6
Quinn Cook,170.0,29.0,14.8,2.7,5.8,46.3,1.0,2.5,40.6,0.3,0.4,78.9,0.3,1.5,1.8,1.7,0.0,0.3,1.1,0.8,6.7
Anthony Davis,534.0,529.0,34.5,8.9,17.3,51.5,0.5,1.5,32.1,5.7,7.1,80.2,2.6,7.8,10.4,2.3,2.4,1.4,2.4,1.9,24.0
Jared Dudley,896.0,286.0,22.4,2.7,5.8,46.4,1.0,2.5,39.3,1.0,1.4,73.2,0.9,2.3,3.2,1.6,0.2,0.8,1.8,0.8,7.4
Marc Gasol,846.0,830.0,32.9,5.4,11.2,48.2,0.5,1.3,35.4,3.3,4.2,77.7,1.6,6.0,7.6,3.4,1.4,0.9,2.9,2.0,14.5
Montrezl Harrell,325.0,25.0,21.0,5.2,8.4,61.5,0.0,0.2,9.6,2.3,3.6,64.0,1.8,3.2,5.0,1.3,0.9,0.6,2.3,1.2,12.7
LeBron James,1272.0,1271.0,38.3,9.9,19.6,50.3,1.5,4.3,34.4,5.8,8.0,73.4,1.2,6.2,7.4,7.4,0.8,1.6,1.8,3.5,27.0
Kyle Kuzma,215.0,116.0,29.9,6.0,13.3,44.9,1.8,5.4,33.3,2.1,2.9,73.3,0.9,4.5,5.4,1.9,0.4,0.6,2.2,1.8,15.9
Wesley Matthews,798.0,730.0,31.8,4.5,10.6,42.4,2.1,5.5,38.1,2.0,2.5,82.3,0.5,2.5,3.0,2.1,0.2,1.0,2.2,1.3,13.1
Alfonzo McKinnie,130.0,6.0,12.8,1.7,3.6,47.2,0.5,1.5,31.4,0.4,0.6,63.1,0.9,1.9,2.8,0.4,0.2,0.3,1.7,0.5,4.3
Markieff Morris,644.0,348.0,25.4,4.4,9.8,44.8,0.8,2.4,34.4,1.8,2.3,77.8,1.3,4.1,5.3,1.7,0.5,0.9,2.9,1.6,11.4
Dennis Schroder,503.0,184.0,25.6,5.3,12.2,43.6,1.1,3.4,33.7,2.3,2.8,82.7,0.4,2.4,2.9,4.6,0.1,0.8,1.9,2.4,14.1
Deandre Ayton,116.0,109.0,31.2,7.4,13.0,57.0,0.0,0.2,20.0,1.9,2.6,74.6,3.4,7.3,10.7,1.8,1.1,0.8,3.0,1.9,16.8
Devin Booker,349.0,324.0,33.5,7.7,17.2,44.9,2.0,5.5,35.4,5.0,5.8,86.9,0.5,3.2,3.6,4.7,0.3,0.8,3.1,3.3,22.4
Mikal Bridges,162.0,95.0,29.0,3.2,6.9,46.9,1.2,3.4,35.4,1.3,1.6,83.1,0.8,2.9,3.7,1.9,0.6,1.5,2.3,0.9,9.0
Jevon Carter,104.0,5.0,15.4,1.6,4.3,36.3,0.9,2.5,37.3,0.5,0.6,83.1,0.4,1.4,1.9,1.5,0.3,0.7,1.4,0.6,4.6
Jae Crowder,615.0,304.0,24.8,3.3,7.9,42.1,1.4,4.2,34.0,1.5,2.0,77.8,0.7,3.4,4.1,1.5,0.3,1.0,2.0,0.9,9.6
Langston Galloway,412.0,62.0,22.7,3.0,7.6,39.6,1.5,4.0,36.8,1.0,1.2,81.2,0.5,2.1,2.5,1.7,0.2,0.7,1.6,0.6,8.5
Cameron Johnson,64.0,9.0,22.1,3.2,7.3,44.2,1.9,4.9,39.0,0.9,1.0,83.6,0.8,2.4,3.2,1.2,0.4,0.6,1.5,0.5,9.3
Damian Jones,108.0,49.0,13.9,1.8,2.7,66.2,0.0,0.1,22.2,0.9,1.3,67.6,1.1,1.9,3.0,0.6,0.7,0.4,2.3,0.5,4.5
Frank Kaminsky,326.0,36.0,21.7,3.5,8.2,42.2,1.2,3.4,34.6,1.6,2.1,74.8,0.8,3.2,4.0,1.6,0.4,0.5,1.6,0.9,9.7
Abdel Nader,164.0,8.0,12.7,1.6,3.8,42.1,0.6,1.8,35.2,0.6,0.9,71.6,0.3,1.5,1.8,0.5,0.3,0.4,1.2,0.6,4.5
Chris Paul,1027.0,1027.0,34.8,6.5,13.7,47.0,1.3,3.7,37.0,4.2,4.8,87.1,0.7,3.9,4.5,9.5,0.1,2.2,2.5,2.4,18.4
Cameron Payne,168.0,28.0,16.5,2.5,6.1,40.8,0.9,2.5,34.9,0.5,0.6,78.6,0.3,1.6,1.9,2.6,0.2,0.7,1.6,1.0,6.3
Dario Saric,309.0,201.0,26.4,4.4,9.9,44.1,1.5,4.2,35.9,1.9,2.3,83.7,1.6,4.6,6.2,2.1,0.2,0.6,2.2,1.7,12.2
Jalen Smith,2.0,0.0,10.0,1.0,2.5,40.0,0.0,0.5,0.0,0.0,1.0,0.0,1.5,1.0,2.5,0.5,0.5,0.0,0.5,0.5,2.0
Harrison Barnes,618.0,557.0,31.2,5.1,11.3,44.8,1.2,3.3,37.4,2.3,2.9,79.6,1.0,3.9,4.9,1.6,0.2,0.7,1.7,1.2,13.7
Nemanja Bjelica,347.0,159.0,21.7,3.0,6.5,46.7,1.2,3.1,39.3,0.8,1.0,77.1,1.2,3.6,4.8,1.8,0.4,0.7,2.5,1.0,8.0
Kyle Guy,5.0,0.0,4.4,0.6,2.0,30.0,0.2,1.0,20.0,0.4,0.4,100.0,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.0,1.8
Tyrese Haliburton,5.0,0.0,26.8,3.6,6.8,52.9,2.0,4.0,50.0,1.4,1.6,87.5,0.6,1.4,2.0,4.4,0.4,1.0,1.4,0.8,10.6
Buddy Hield,322.0,200.0,27.8,5.9,13.4,44.0,2.8,6.8,41.0,1.3,1.5,86.5,0.8,3.4,4.2,2.2,0.3,0.8,2.0,1.7,15.9
Richaun Holmes,276.0,68.0,19.0,3.5,5.9,58.6,0.1,0.6,25.7,1.4,2.0,72.9,1.7,3.4,5.1,0.9,1.0,0.6,2.6,0.8,8.5
Justin James,37.0,0.0,6.4,0.9,2.3,41.7,0.2,0.8,31.0,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.2,0.2,0.5,0.2,2.4
DaQuan Jeffries,13.0,0.0,10.8,1.5,3.1,50.0,0.4,1.4,27.8,0.4,0.5,83.3,0.2,1.2,1.4,0.5,0.1,0.3,1.5,0.2,3.8
Cory Joseph,606.0,121.0,21.9,2.7,6.1,44.0,0.5,1.5,33.1,1.0,1.3,77.0,0.5,2.1,2.6,2.9,0.2,0.8,1.5,1.0,6.9
Chimezie Metu,47.0,0.0,5.3,0.9,2.1,43.0,0.0,0.1,0.0,0.5,0.6,76.7,0.4,1.0,1.5,0.5,0.2,0.2,0.4,0.5,2.3
Jabari Parker,285.0,190.0,29.0,6.0,12.2,49.3,0.7,2.2,32.4,2.2,2.9,74.0,1.5,4.2,5.7,2.1,0.4,0.9,2.1,1.8,14.9
Hassan Whiteside,415.0,320.0,26.5,5.7,9.8,58.2,0.0,0.1,32.0,2.2,3.7,60.6,3.3,8.3,11.7,0.7,2.4,0.6,2.6,1.6,13.6
Bogdan Bogdanovic,215.0,98.0,28.2,5.0,11.5,43.3,2.1,5.5,37.5,1.5,1.9,80.8,0.5,2.8,3.3,3.5,0.2,1.0,2.1,1.6,13.5
Clint Capela,338.0,278.0,26.0,5.3,8.3,63.4,0.0,0.0,0.0,1.6,3.1,52.2,3.3,6.5,9.7,1.0,1.5,0.7,2.5,1.2,12.2
John Collins,182.0,132.0,28.2,6.4,11.3,57.0,0.7,2.0,36.5,2.6,3.4,76.3,2.9,5.9,8.8,1.6,1.1,0.6,3.2,1.7,16.2
Bruno Fernando,62.0,13.0,12.5,1.7,3.4,51.4,0.1,0.6,13.2,0.5,0.9,57.4,1.2,2.5,3.7,0.9,0.3,0.3,1.8,0.8,4.0
Danilo Gallinari,613.0,542.0,30.9,4.9,11.4,42.7,2.0,5.2,38.1,4.4,5.0,87.3,0.7,4.2,4.9,2.0,0.4,0.8,1.8,1.3,16.1
Brandon Goodwin,54.0,1.0,10.0,1.6,4.2,38.4,0.6,1.9,30.7,0.7,0.8,86.7,0.2,1.2,1.5,1.4,0.1,0.2,1.0,0.6,4.6
Solomon Hill,370.0,172.0,21.9,2.0,5.1,39.4,0.8,2.4,33.7,1.0,1.3,80.1,0.7,2.5,3.2,1.6,0.2,0.7,1.8,0.9,5.8
Kevin Huerter,137.0,107.0,28.9,4.0,9.6,41.8,2.0,5.2,38.6,0.7,0.9,78.7,0.7,2.9,3.6,3.2,0.4,0.9,2.3,1.5,10.8
Nathan Knight,3.0,0.0,5.0,1.3,2.3,57.1,0.7,1.0,66.7,1.3,1.7,80.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.7
Skylar Mays,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Cam Reddish,64.0,40.0,26.9,3.7,9.5,38.4,1.4,4.2,33.6,1.8,2.3,80.6,0.6,3.2,3.8,1.5,0.5,1.1,2.3,1.6,10.5
Rajon Rondo,875.0,729.0,31.0,4.3,9.3,45.8,0.4,1.4,31.7,1.2,2.0,60.6,1.0,3.7,4.7,8.3,0.1,1.7,2.2,2.8,10.2
Tony Snell,501.0,275.0,22.5,2.4,5.5,42.8,1.2,3.2,38.5,0.5,0.6,83.8,0.3,2.0,2.3,1.2,0.2,0.5,1.4,0.6,6.5
Trae Young,147.0,147.0,32.8,7.6,17.7,42.9,2.5,7.4,34.4,6.0,7.1,84.9,0.7,3.2,4.0,8.6,0.2,0.9,1.7,4.2,23.8
LaMelo Ball,6.0,0.0,23.0,4.0,9.5,42.1,1.8,4.3,42.3,1.7,2.3,71.4,1.5,2.8,4.3,4.2,0.5,1.8,2.7,2.3,11.5
Bismack Biyombo,642.0,276.0,20.3,2.0,3.8,52.2,0.0,0.0,0.0,1.3,2.2,57.3,2.0,4.3,6.3,0.6,1.3,0.2,2.2,0.9,5.2
Miles Bridges,151.0,89.0,25.5,3.8,8.7,44.0,1.2,3.5,33.0,1.1,1.4,79.2,1.1,3.7,4.8,1.5,0.7,0.7,1.7,1.0,9.9
Gordon Hayward,647.0,485.0,30.9,5.3,11.7,45.1,1.3,3.6,36.6,3.5,4.2,82.4,0.7,3.7,4.4,3.5,0.4,1.0,1.8,2.0,15.3
Caleb Martin,23.0,1.0,17.1,2.3,4.9,46.4,1.0,2.0,51.1,0.9,1.1,76.9,0.5,1.7,2.2,1.3,0.3,0.8,1.6,0.7,6.4
Cody Martin,53.0,3.0,18.5,1.8,4.2,43.7,0.3,1.5,22.2,0.8,1.3,64.2,0.8,2.5,3.3,2.0,0.2,0.8,1.5,0.9,4.8
Jalen McDaniels,22.0,0.0,16.2,1.9,4.0,47.7,0.5,1.3,35.7,0.9,1.2,76.9,0.8,2.8,3.6,0.8,0.1,0.4,2.0,0.9,5.2
Malik Monk,191.0,1.0,17.2,3.1,7.8,39.5,1.3,4.1,32.2,1.1,1.3,85.0,0.3,1.6,1.9,1.7,0.2,0.4,1.3,1.1,8.6
Nick Richards,2.0,0.0,2.5,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
Terry Rozier,341.0,99.0,22.8,3.5,8.9,39.7,1.6,4.2,37.4,1.3,1.6,81.2,0.6,3.1,3.7,2.7,0.2,0.8,1.3,1.1,9.9
Cody Zeller,420.0,253.0,22.9,3.2,6.3,51.3,0.1,0.3,24.3,2.1,2.9,73.0,2.0,4.0,5.9,1.4,0.7,0.7,2.6,1.1,8.6
Precious Achiuwa,5.0,0.0,15.0,3.2,5.0,64.0,0.0,0.0,0.0,1.4,2.8,50.0,1.4,2.8,4.2,0.6,0.4,0.2,2.6,1.4,7.8
Bam Adebayo,228.0,124.0,25.7,4.1,7.3,55.6,0.0,0.2,13.9,2.6,3.6,71.4,2.0,5.6,7.7,3.0,0.9,0.8,2.3,1.8,10.7
Avery Bradley,575.0,494.0,28.2,4.7,10.8,43.7,1.3,3.6,36.5,1.0,1.3,78.0,0.6,2.3,2.9,1.8,0.2,1.0,2.2,1.4,11.8
Jimmy Butler,584.0,479.0,33.0,5.5,12.1,45.3,0.9,2.6,33.3,5.1,6.1,83.5,1.5,3.6,5.1,3.7,0.5,1.6,1.4,1.5,17.0
Goran Dragic,822.0,511.0,28.0,5.1,11.0,46.4,1.2,3.3,36.2,2.5,3.3,76.4,0.7,2.3,3.1,4.8,0.2,1.0,2.3,2.3,13.9
Maurice Harkless,542.0,327.0,22.9,2.8,5.9,47.8,0.6,1.8,32.5,0.8,1.4,61.2,1.2,2.5,3.7,0.9,0.7,1.0,2.0,0.9,7.1
Udonis Haslem,858.0,500.0,25.1,3.1,6.3,48.9,0.0,0.1,8.6,1.4,1.9,75.5,1.9,4.8,6.7,0.8,0.3,0.5,2.4,0.9,7.6
Tyler Herro,60.0,13.0,27.9,5.0,11.6,43.3,2.1,5.4,38.5,1.6,1.8,86.4,0.3,3.9,4.2,2.4,0.2,0.6,1.4,1.7,13.7
Andre Iguodala,1133.0,781.0,33.1,4.3,9.3,46.5,0.9,2.7,33.3,2.5,3.5,70.9,0.9,4.1,5.1,4.3,0.5,1.5,1.8,1.9,12.0
Meyers Leonard,446.0,93.0,16.0,2.1,4.5,48.2,0.7,1.9,39.1,0.6,0.7,81.1,0.7,3.2,3.9,0.9,0.3,0.2,2.2,0.7,5.6
Kendrick Nunn,71.0,67.0,28.4,5.7,13.2,43.5,1.9,5.6,34.7,1.2,1.5,85.4,0.3,2.3,2.6,3.2,0.2,0.8,2.2,1.6,14.7
KZ Okpala,7.0,0.0,7.7,0.6,1.3,44.4,0.0,0.6,0.0,0.3,0.6,50.0,0.3,1.0,1.3,0.1,0.1,0.4,0.4,0.1,1.4
Kelly Olynyk,504.0,103.0,21.3,3.5,7.4,47.5,1.1,3.1,37.2,1.5,1.9,77.4,1.2,3.7,4.8,1.9,0.5,0.7,2.8,1.4,9.7
Duncan Robinson,93.0,74.0,26.6,3.8,8.3,46.3,3.2,7.3,43.5,0.9,1.0,89.9,0.1,2.8,2.9,1.2,0.2,0.5,2.3,0.9,11.7
Chris Silva,46.0,0.0,7.7,1.0,1.7,61.5,0.0,0.1,0.0,0.8,1.2,68.4,1.3,1.4,2.7,0.5,0.5,0.2,1.9,0.7,2.9
Max Strus,3.0,0.0,6.0,1.7,2.7,62.5,0.3,1.3,25.0,0.3,0.3,100.0,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,4.0
Gabe Vincent,10.0,0.0,9.8,1.0,4.3,23.3,0.8,3.2,25.0,0.1,0.1,100.0,0.0,0.7,0.7,0.8,0.0,0.5,1.0,0.1,2.9
Cole Anthony,6.0,0.0,19.8,2.8,9.2,30.9,0.5,2.5,20.0,2.5,2.5,100.0,1.5,3.5,5.0,3.3,0.0,0.5,1.7,0.8,8.7
Dwayne Bacon,141.0,36.0,16.3,2.1,5.2,40.5,0.5,1.5,34.1,0.7,0.9,72.1,0.2,2.2,2.4,1.0,0.1,0.4,1.3,0.6,5.4
Mo Bamba,109.0,1.0,15.1,2.3,4.9,47.1,0.5,1.6,32.8,0.6,1.0,62.4,1.5,3.4,4.9,0.7,1.4,0.3,2.0,0.8,5.7
Khem Birch,146.0,25.0,15.4,1.7,3.1,54.5,0.0,0.0,0.0,1.2,1.8,68.8,1.7,2.5,4.2,0.9,0.5,0.4,1.6,0.5,4.6
Jordan Bone,11.0,0.0,5.6,0.6,2.2,29.2,0.2,1.0,18.2,0.0,0.0,0.0,0.1,0.5,0.5,0.8,0.0,0.1,0.5,0.2,1.5
Gary Clark,96.0,7.0,13.0,1.1,3.0,36.2,0.8,2.6,31.5,0.2,0.2,94.4,0.7,1.8,2.5,0.4,0.5,0.3,1.0,0.2,3.2
