,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Taurean Prince,2990962,79.0,218.0,26,PF,2,12250000.0,Taurean Prince,4,Brooklyn Nets,R,267.0,201.0,26.1,4.0,9.8,41.2,1.8,5.0,36.7,1.5,1.9,81.8,0.6,3.7,4.3,1.9,0.4,0.9,2.2,1.8,11.4
Landry Shamet,3914044,76.0,195.0,23,SG,13,2090040.0,Landry Shamet,2,Brooklyn Nets,,139.0,57.0,24.3,2.9,7.0,41.7,2.0,5.1,39.6,1.1,1.3,83.1,0.2,1.5,1.7,1.6,0.2,0.5,2.2,0.7,8.9
RJ Barrett,4395625,79.0,210.0,20,SG,9,8231760.0,RJ Barrett,1,New York Knicks,,62.0,61.0,31.2,5.3,13.3,39.9,1.1,3.6,31.0,2.9,4.6,63.3,0.9,4.3,5.2,2.6,0.3,1.0,2.2,2.2,14.6
Ignas Brazdeikis,4397205,79.0,214.0,21,SF,17,1517981.0,Ignas Brazdeikis,1,New York Knicks,,11.0,0.0,5.0,0.5,2.1,26.1,0.1,0.8,11.1,0.5,0.6,85.7,0.3,0.4,0.6,0.4,0.1,0.0,0.3,0.2,1.7
Reggie Bullock,2528779,79.0,189.0,29,SF,25,4200000.0,Reggie Bullock,7,New York Knicks,,307.0,144.0,19.9,2.6,6.0,42.7,1.3,3.5,38.3,0.5,0.7,82.0,0.3,1.8,2.1,1.1,0.1,0.5,1.1,0.6,7.0
Alec Burks,6429,78.0,220.0,29,SG,18,6000000.0,Alec Burks,9,New York Knicks,,498.0,86.0,21.9,3.5,8.3,42.3,0.8,2.3,36.8,2.5,3.1,79.3,0.6,2.6,3.2,1.9,0.2,0.7,1.8,1.3,10.3
Jared Harper,4066248,72.0,172.0,23,PG,0,0.0,Jared Harper,1,New York Knicks,,5.0,0.0,2.6,0.2,1.0,20.0,0.0,0.4,0.0,0.4,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
Nerlens Noel,2991280,83.0,201.0,26,C,3,5000000.0,Nerlens Noel,6,New York Knicks,B,367.0,167.0,22.0,3.3,6.0,54.3,0.0,0.0,28.6,1.4,2.1,64.8,1.9,4.3,6.2,1.2,1.4,1.3,2.5,1.4,7.9
Frank Ntilikina,4230547,77.0,197.0,22,PG,11,6176578.0,Frank Ntilikina,3,New York Knicks,,182.0,51.0,21.1,2.3,6.2,36.7,0.7,2.3,31.6,0.7,0.9,77.5,0.4,1.7,2.1,3.0,0.3,0.8,2.4,1.4,6.0
Elfrid Payton,2583639,76.0,201.0,26,PG,6,5000000.0,Elfrid Payton,6,New York Knicks,,393.0,337.0,29.3,4.5,10.0,45.3,0.4,1.4,29.3,1.5,2.4,62.2,1.1,3.3,4.4,6.6,0.3,1.3,2.2,2.4,11.0
Theo Pinson,3138154,78.0,210.0,25,SG,21,1445697.0,Theo Pinson,2,New York Knicks,,55.0,0.0,10.6,1.3,4.2,30.3,0.5,2.3,20.9,0.6,0.7,89.5,0.3,1.4,1.7,1.4,0.1,0.4,0.9,0.9,3.7
Immanuel Quickley,4395724,75.0,181.0,21,SG,5,2105520.0,Immanuel Quickley,0,New York Knicks,,2.0,0.0,13.5,2.0,3.5,57.1,0.5,1.5,33.3,2.5,2.5,100.0,0.0,1.0,1.0,1.5,0.0,0.5,1.5,1.5,7.0
Julius Randle,3064514,81.0,254.0,26,PF,30,18900000.0,Julius Randle,6,New York Knicks,,381.0,301.0,29.3,6.1,12.3,49.3,0.5,1.6,30.2,3.5,4.9,72.5,2.2,6.9,9.0,2.9,0.5,0.7,3.2,2.5,16.2
Austin Rivers,6617,76.0,204.0,28,PG,8,3500000.0,Austin Rivers,8,New York Knicks,,554.0,149.0,24.5,3.4,8.1,41.8,1.1,3.2,34.9,1.3,1.9,64.4,0.3,1.8,2.1,2.3,0.2,0.7,2.2,1.1,9.2
Mitchell Robinson,4351852,84.0,252.0,22,C,23,1663861.0,Mitchell Robinson,2,New York Knicks,,133.0,32.0,22.1,3.6,5.0,71.4,0.0,0.0,0.0,1.3,2.2,58.3,2.9,3.9,6.8,0.6,2.2,0.8,3.2,0.6,8.5
Omari Spellman,4065836,81.0,284.0,23,PF,2,1988280.0,Omari Spellman,2,New York Knicks,R,95.0,14.0,17.8,2.4,5.7,41.7,0.9,2.5,36.6,1.1,1.4,76.6,1.6,2.8,4.3,1.0,0.5,0.6,1.4,0.9,6.8
Obi Toppin,4278355,81.0,212.0,22,PF,1,4862040.0,Obi Toppin,0,New York Knicks,L,1.0,0.0,24.0,3.0,12.0,25.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,9.0
Tony Bradley,4065673,82.0,260.0,22,C,11,3542060.0,Tony Bradley,3,Philadelphia 76ers,,71.0,3.0,10.5,2.0,3.1,62.3,0.0,0.1,75.0,0.5,0.7,64.7,1.8,2.4,4.2,0.4,0.5,0.2,1.7,0.5,4.4
Seth Curry,2326307,73.0,192.0,30,SG,31,7834449.0,Seth Curry,6,Philadelphia 76ers,,262.0,84.0,22.5,3.7,7.7,47.8,1.8,4.0,44.5,1.0,1.2,84.6,0.3,1.6,2.0,1.8,0.1,0.7,1.5,1.0,10.2
Joel Embiid,3059318,84.0,280.0,26,C,21,29542010.0,Joel Embiid,4,Philadelphia 76ers,,214.0,214.0,30.5,8.0,16.6,48.1,1.1,3.6,32.0,6.8,8.6,79.3,2.4,9.1,11.5,3.1,1.8,0.8,3.4,3.5,24.0
Terrance Ferguson,4230546,79.0,195.0,22,SF,23,3944013.0,Terrance Ferguson,3,Philadelphia 76ers,,193.0,124.0,20.5,1.7,4.3,40.5,1.0,3.0,33.6,0.3,0.4,75.3,0.4,1.0,1.4,0.7,0.2,0.5,2.4,0.5,4.8
Danny Green,3988,78.0,210.0,33,SG,14,15365853.0,Danny Green,11,Philadelphia 76ers,,694.0,618.0,25.3,3.1,7.4,42.3,1.9,4.7,39.9,0.7,0.9,80.7,0.6,2.9,3.5,1.6,0.8,1.0,1.8,1.0,8.9
Tobias Harris,6440,80.0,228.0,28,SF,12,34358850.0,Tobias Harris,9,Philadelphia 76ers,,624.0,504.0,30.9,6.1,12.9,47.1,1.3,3.6,36.6,2.5,3.0,82.1,1.0,5.1,6.1,2.0,0.5,0.7,2.0,1.4,16.0
Dwight Howard,2384,81.0,260.0,35,C,39,1620564.0,Dwight Howard,16,Philadelphia 76ers,,1119.0,1046.0,33.4,6.0,10.3,58.7,0.0,0.1,14.5,4.6,8.1,56.5,3.4,8.8,12.3,1.4,1.9,0.9,3.2,2.8,16.7
Isaiah Joe,4395702,76.0,167.0,21,SG,7,898310.0,Isaiah Joe,0,Philadelphia 76ers,,2.0,0.0,7.0,0.5,1.5,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.0,0.5,1.0,0.5,1.0
Furkan Korkmaz,3929325,79.0,210.0,23,SG,30,1762796.0,Furkan Korkmaz,3,Philadelphia 76ers,,137.0,19.0,17.3,2.6,6.3,41.2,1.5,3.9,37.3,0.9,1.1,77.0,0.3,1.9,2.1,1.0,0.2,0.5,1.3,0.7,7.5
Dakota Mathias,3136991,75.0,197.0,25,SG,33,0.0,Dakota Mathias,0,Philadelphia 76ers,,2.0,0.0,6.5,1.5,4.5,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
Tyrese Maxey,4431678,74.0,191.0,20,PG,0,2478840.0,Tyrese Maxey,0,Philadelphia 76ers,,6.0,0.0,14.7,2.7,6.3,42.1,0.2,1.2,14.3,0.0,0.0,0.0,0.2,1.2,1.3,1.5,0.0,0.5,0.7,0.8,5.5
Shake Milton,3915195,77.0,210.0,24,SG,18,1701593.0,Shake Milton,2,Philadelphia 76ers,,66.0,24.0,18.5,3.0,6.5,45.7,1.2,3.1,38.8,1.0,1.3,77.3,0.4,1.7,2.0,2.1,0.3,0.5,2.0,0.9,8.2
Vincent Poirier,4237215,85.0,260.0,27,C,17,2619207.0,Vincent Poirier,1,Philadelphia 76ers,,23.0,0.0,6.0,0.8,1.7,47.4,0.0,0.1,50.0,0.3,0.3,85.7,0.6,1.3,2.0,0.3,0.4,0.1,1.1,0.4,1.9
Paul Reed,4278562,80.0,218.0,21,SF,44,0.0,Paul Reed,0,Philadelphia 76ers,,,,,,,,,,,,,,,,,,,,,,
Mike Scott,6622,79.0,237.0,32,PF,1,5005350.0,Mike Scott,8,Philadelphia 76ers,L,509.0,22.0,16.5,2.7,5.9,45.8,0.9,2.4,36.3,0.7,1.0,75.9,0.7,2.5,3.2,0.9,0.1,0.3,1.5,0.7,7.0
Ben Simmons,3907387,82.0,240.0,24,PG,25,30559200.0,Ben Simmons,3,Philadelphia 76ers,,223.0,223.0,34.3,6.7,11.9,55.9,0.0,0.1,12.0,2.9,4.9,59.4,2.0,6.4,8.3,7.9,0.8,1.7,2.8,3.5,16.3
